kjellyman1g@inverglen.sch.uk,Kassie,Jellyman,0.34
tmadre12@inverglen.sch.uk,Thain,Madre,0.36
csail1j@inverglen.sch.uk,Sheridan,Selwood,0.43
mdiviny10@inverglen.sch.uk,Mateo,Diviny,0.89
ltick19@inverglen.sch.uk,Linn,Tick,0.68
hspennockx@inverglen.sch.uk,Hartley,Spennock,0.95
tdilawey1i@inverglen.sch.uk,Torrie,Dilawey,0.5
ndaglish9@inverglen.sch.uk,Nevins,Daglish,0.86
jmollisonw@inverglen.sch.uk,Jemmy,Mollison,0.51
wbenneg@inverglen.sch.uk,Wyatan,Benne,0.23
mstagg1l@inverglen.sch.uk,Morton,Stagg,0.78
fpywell1@inverglen.sch.uk,Franz,Pywell,0.89
kgalieron@inverglen.sch.uk,Kenna,Galiero,0.39
gwethers1e@inverglen.sch.uk,Giralda,Wethers,0.61
npidgeley2@inverglen.sch.uk,Napoleon,Pidgeley,0.5
phutchens5@inverglen.sch.uk,Padraic,Hutchens,0.23
isauvany@inverglen.sch.uk,Ingar,Sauvan,0.53
lpercy1m@inverglen.sch.uk,Lenna,Percy,0.25
aburren4@inverglen.sch.uk,Allix,Burren,0.72
cmulvina@inverglen.sch.uk,Clem,Mulvin,0.39
aianson8@inverglen.sch.uk,Broddy,Hayfield,0.65
rhillinm@inverglen.sch.uk,Reider,Hillin,0.95
lpickston1h@inverglen.sch.uk,Leisha,Pickston,0.79
dholdin14@inverglen.sch.uk,Diannne,Holdin,0.22
dkeersv@inverglen.sch.uk,Dru,Keers,0.33
etondeur11@inverglen.sch.uk,Eden,Tondeur,0.61
fbabar17@inverglen.sch.uk,Faydra,Babar,0.91
abilbery1k@inverglen.sch.uk,Anetta,Bilbery,0.89
rbrewer1f@inverglen.sch.uk,Rosella,Brewer,0.46
rguesfordh@inverglen.sch.uk,Rees,Guesford,0.43
agooderedd@inverglen.sch.uk,Alasteir,Goodered,0.43
nbrockmani@inverglen.sch.uk,Nev,Brockman,0.33
tjulianu@inverglen.sch.uk,Tessi,Julian,0.44
lhenner13@inverglen.sch.uk,Lombard,Henner,0.42
lpettingillb@inverglen.sch.uk,Lynnette,Pettingill,0.53
atosho@inverglen.sch.uk,Anneliese,Tosh,0.3
lchamp3@inverglen.sch.uk,Locke,Champ,0.35
mreddele@inverglen.sch.uk,Michel,Reddel,0.2
chegden18@inverglen.sch.uk,Cassey,Hegden,0.24
ccogar16@inverglen.sch.uk,Christen,Cogar,0.71
osprowles1n@inverglen.sch.uk,Odelia,Sprowles,0.22
arennocks15@inverglen.sch.uk,Abbie,Rennocks,0.66
lcoathup1a@inverglen.sch.uk,Lexis,Coathup,0.28
econaboyz@inverglen.sch.uk,Eliot,Conaboy,0.2
bdauberf@inverglen.sch.uk,Bev,Dauber,0.55
cmariotc@inverglen.sch.uk,Clay,Mariot,0.75
aapple7@inverglen.sch.uk,Ann,Apple,0.99
dsandwick6@inverglen.sch.uk,Dorise,Sandwick,0.96
